Drug Name,Strength / Composition,Indication,Date of Approval,Firm Name
Dapagliflozin Propanediol Monohydrate 10mg/ 10mg+Glimepiride 1mg/2mg+Metformin Hydrochloride (Er) 1000mg/ 1000mg Tablets,"Dapagliflozin Propanediol Monohydrate 10.0000 Milligram (Mg),Glimepiride 1.0000 Milligram (Mg),Metformin Hydrochloride 1000.0000 Milligram (Mg)",It Is  Indicated As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus,02-JAN-2024,Windlas Biotech Limited
Dapagliflozin Propanediol Monohydrate 10 Mg / 10 Mg+Metformin Hydrochloride (Er) 500 Mg / 1000 Mg Tablets+Sitagliptin 100 Mg / 100 Mg,"Dapagliflozin Propanediol Monohydrate 10.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate 100.0000 Milligram (Mg),Metformin Hydrochloride 1000.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus.,13-DEC-2022,Windlas Biotech Limited
Dapagliflozin Propanediol Monohydrate 10 Mg / 10 Mg+Metformin Hydrochloride (Er) 500 Mg / 1000 Mg Tablets+Sitagliptin 100 Mg / 100 Mg,"Dapagliflozin Propanediol Monohydrate 10.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate 100.0000 Milligram (Mg),Metformin Hydrochloride 500.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus.,13-DEC-2022,Windlas Biotech Limited
Dapagliflozin Propanediol Monohydrate 5mg/ 10 Mg+Sitagliptin 50 Mg/ 100 Mg Tablets,"Dapagliflozin Propanediol Monohydrate 10.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate 100.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus.,23-SEP-2022,Windlas Biotech Limited
Dapagliflozin Propanediol Monohydrate 5mg/ 10 Mg+Sitagliptin 50 Mg/ 100 Mg Tablets,"Dapagliflozin Propanediol Monohydrate 5.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate 50.0000 Milligram (Mg)",It Is Indicated As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus.,23-SEP-2022,Windlas Biotech Limited
Dapagliflozin Propanediol Monohydrate 5 Mg / 10 Mg Tablets+Teneligliptin 20 Mg/ 20 Mg,"Teneligliptin 20.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate 10.0000 Milligram (Mg)",For The Treatment Of Patients With Type 2 Diabetes Mellitus Inadequately Controlled Of Metformin Monotherapy.,29-DEC-2022,Windlas Biotech Limited
Dapagliflozin Propanediol Monohydrate 5 Mg / 10 Mg Tablets+Teneligliptin 20 Mg/ 20 Mg,"Teneligliptin 20.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate 5.0000 Milligram (Mg)",For The Treatment Of Patients With Type 2 Diabetes Mellitus Inadequately Controlled Of Metformin Monotherapy.,29-DEC-2022,Windlas Biotech Limited
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10/5/5/10 Mg+Linagliptin 5/5/2.5/2.5 Mg Tablets,"Linagliptin 5.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg)",In Patients With Type 2 Diabetes Mellitus Inadequately Controlled On Metformin,13-DEC-2024,MEDICAMEN BIOTECH LIMITED
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10/5/5/10 Mg+Linagliptin 5/5/2.5/2.5 Mg Tablets,"Linagliptin 2.5000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg)",In Patients With Type 2 Diabetes Mellitus Inadequately Controlled On Metformin,13-DEC-2024,MEDICAMEN BIOTECH LIMITED
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10/5/5/10 Mg+Linagliptin 5/5/2.5/2.5 Mg Tablets,"Linagliptin 2.5000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg)",In Patients With Type 2 Diabetes Mellitus Inadequately Controlled On Metformin,13-DEC-2024,MEDICAMEN BIOTECH LIMITED
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10/5/5/10 Mg+Linagliptin 5/5/2.5/2.5 Mg Tablets,"Linagliptin 5.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg)",In Patients With Type 2 Diabetes Mellitus Inadequately Controlled On Metformin,13-DEC-2024,MEDICAMEN BIOTECH LIMITED
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10mg/5mg/10mg/5mg+Linagliptin 2.5mg/2.5mg/5mg/5mg,"Linagliptin 5.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg)",In Patients With Type-2 Diabetes Mellitus,23-AUG-2023,Mascot Health Series Pvt Ltd
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10mg/5mg/10mg/5mg+Linagliptin 2.5mg/2.5mg/5mg/5mg,"Linagliptin 5.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg)",In Patients With Type-2 Diabetes Mellitus,23-AUG-2023,Mascot Health Series Pvt Ltd
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10mg/5mg/10mg/5mg+Linagliptin 2.5mg/2.5mg/5mg/5mg,"Linagliptin 2.5000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg)",In Patients With Type-2 Diabetes Mellitus,23-AUG-2023,Mascot Health Series Pvt Ltd
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10mg/5mg/10mg/5mg+Linagliptin 2.5mg/2.5mg/5mg/5mg,"Linagliptin 2.5000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg)",In Patients With Type-2 Diabetes Mellitus,23-AUG-2023,Mascot Health Series Pvt Ltd
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10mg+Glimepiride Ip 1mg/2mg+Metformin Hcl Ip (As Extended Release) 1000mg,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10mg 10.0000 Milligram (Mg),Glimepiride 2.0000 Milligram (Mg),Metformin Hcl (As Extended Release) 1000.0000 Milligram (Mg)",As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type-2 Diabetes Mellitus,02-JAN-2024,Mascot Health Series Pvt Ltd
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10mg+Glimepiride Ip 1mg/2mg+Metformin Hcl Ip (As Extended Release) 1000mg,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Glimepiride 1.0000 Milligram (Mg),Metformin Hcl (As Extended Release) 1000.0000 Milligram (Mg)",As An Adjunct To Diet And Exercise To Improve Glycaemic Control In Adults With Type-2 Diabetes Mellitus,02-JAN-2024,Mascot Health Series Pvt Ltd
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10mg+Metformin Hydrochloride Ip (Sr) 500mg+Sitagliptin Phosphate Monohydrate Ip Eq. To Sitagliptin 100mg,"Sitagliptin Phosphate Monohydrate Ip Eq. To Sitagliptin 100.0000 Milligram (Mg),Metformin Hydrochloride (Sr) 500.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg)",In Patients With Type-2 Diabetes Mellitus (T2dm),16-NOV-2022,Mascot Health Series Pvt Ltd
Dapagliflozin Propanediol Monohydrate Eq.To Dapagliflozin 10 Mg+Vildagliptin Ip 100 Mg (Sr) Tablets,"Dapagliflozin Propanediol Monohydrate Equivalent.To Dapagliflozin 10.0000 Milligram (Mg),Vildagliptin Ip 100.0000 Milligram (Mg)",For The Treatment Of Patients With Type 2 Diabetes Mellitus Inadequately Controlled On Metformin Monotherapy.,25-JUN-2025,Micro Labs Limited
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5 /10 Mg+Sitagliptin Phosphate Ip Eq. To Sitagliptin 100 Mg/100 Mg,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Sitagliptin Phosphate Ip Eq. To Sitagliptin 100.0000 Milligram (Mg)",Indicated As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type-Ii Diabetes Mellitus.,09-SEP-2022,Mascot Health Series Pvt Ltd
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5 /10 Mg+Sitagliptin Phosphate Ip Eq. To Sitagliptin 100 Mg/100 Mg,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Sitagliptin Phosphate Ip Eq. To Sitagliptin 100.0000 Milligram (Mg)",Indicated As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adults With Type-Ii Diabetes Mellitus.,09-SEP-2022,Mascot Health Series Pvt Ltd
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5mg/10mg/5mg/10mg+Sitagliptin Phosphate Monohydrate Ip Eq. To Sitagliptin 50mg/50mg/100mg/100mg Tablets,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Ip Eq. To Sitagliptin 100.0000 Milligram (Mg)",It Is Indicated For The Treatment Of Type 2 Diabetes Mellitus Inadequately Controlled On Metformin Monotherapy.,03-JUL-2025,MEDICAMEN BIOTECH LIMITED
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5mg/10mg/5mg/10mg+Sitagliptin Phosphate Monohydrate Ip Eq. To Sitagliptin 50mg/50mg/100mg/100mg Tablets,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Ip Eq. To Sitagliptin 50.0000 Milligram (Mg)",It Is Indicated For The Treatment Of Type 2 Diabetes Mellitus Inadequately Controlled On Metformin Monotherapy.,03-JUL-2025,MEDICAMEN BIOTECH LIMITED
Dapagliflozin Propanediol Monohydrate Eq To Dapagliflozin 5 Mg / 10 Mg+Linagliptin 5 Mg / 5 Mg Film Coated Tablets,"Linagliptin 5.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate 10.0000 Milligram (Mg)",Patients With Type 2 Diabetes Mellitus Inadequately Controlled On Metformin Monotherapy,23-AUG-2023,Synokem Pharmaceuticals Ltd
Dapagliflozin Propanediol Monohydrate Eq To Dapagliflozin 5 Mg / 10 Mg+Linagliptin 5 Mg / 5 Mg Film Coated Tablets,"Linagliptin 5.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate 5.0000 Milligram (Mg)",Patients With Type 2 Diabetes Mellitus Inadequately Controlled On Metformin Monotherapy,23-AUG-2023,Synokem Pharmaceuticals Ltd
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5mg /10mg+Sitagliptin Phosphate Monohydrate Ip Eq. To Sitagliptin 100mg/50mg,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Ip Eq. To Sitagliptin 100.0000 Milligram (Mg)",It Is Indicated For The Treatment Of Type 2 Diabetes Mellitus Inadequately Controlled On Metormin Monotherapy,18-OCT-2022,Mascot Health Series Pvt Ltd
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5mg /10mg+Sitagliptin Phosphate Monohydrate Ip Eq. To Sitagliptin 100mg/50mg,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Ip Eq. To Sitagliptin 50.0000 Milligram (Mg)",It Is Indicated For The Treatment Of Type 2 Diabetes Mellitus Inadequately Controlled On Metormin Monotherapy,18-OCT-2022,Mascot Health Series Pvt Ltd
Dapagliflozin Propanediol Monohydrate Eq To Dapagliflozin 5mg/10mg+Sitagliptin Phosphate Monohydrate Ip Eq To Sitagliptin 50 Mg/50mg Film Coated Tablet,"Sitagliptin Phosphate Monohydrate 50.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate 5.0000 Milligram (Mg)",It Is Indicated For The  Treatment Of Type 2  Diabetes Mellitus  Inadequately Controlled  On Metformin  Monotherapy,12-JUL-2023,SIGNATURE PHYTOCHEMICAL INDUSTRIES
Dapagliflozin Propanediol Monohydrate Eq To Dapagliflozin 5mg/10mg+Sitagliptin Phosphate Monohydrate Ip Eq To Sitagliptin 50 Mg/50mg Film Coated Tablet,"Sitagliptin Phosphate Monohydrate 50.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate 10.0000 Milligram (Mg)",It Is Indicated For The  Treatment Of Type 2  Diabetes Mellitus  Inadequately Controlled  On Metformin  Monotherapy,12-JUL-2023,SIGNATURE PHYTOCHEMICAL INDUSTRIES
Dapagliflozin Propanediol Monohydrate Eq To Dapagliflozin 5mg/10mg+Teneligliptin Hydrobromide Hydrate Ip Eq To Teneligliptin 20mg/20mg Film Coated Tablet,"Dapagliflozin Propanediol Monohydrate Eq To Dapagliflozin 5.0000 Milligram (Mg),Teneligliptin Hydrobromide Hydrate Eq To Teneligliptin 20.0000 Milligram (Mg)",For The Treatment Of Patients With Type 2 Diabetes Mellitus Inadequately Controlled On Metformin Monotherapy,31-OCT-2022,Synokem Pharmaceuticals Ltd
Dapagliflozin Propanediol Monohydrate Eq To Dapagliflozin 5mg/10mg+Teneligliptin Hydrobromide Hydrate Ip Eq To Teneligliptin 20mg/20mg Film Coated Tablet,"Dapagliflozin Propanediol Monohydrate Eq To Dapagliflozin 10.0000 Milligram (Mg),Teneligliptin Hydrobromide Hydrate Eq To Teneligliptin 20.0000 Milligram (Mg)",For The Treatment Of Patients With Type 2 Diabetes Mellitus Inadequately Controlled On Metformin Monotherapy,31-OCT-2022,Synokem Pharmaceuticals Ltd
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5 Mg+Vildagliptin 50 Mg,"Vildagliptin 50.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5 Mg 5.0000 Milligram (Mg)",Management Of Type-2 Diabetes Mellitus (T2dm),12-JUL-2023,Mascot Health Series Pvt Ltd
Dapagliflozin Propanediol Monohydrate Eq To Dapagliflozin+Glimepiride Ip+Metformin Hydrochloride Ip,"Dapagliflozin Propanediol Monohydrate Eq To Dapagliflozin 10.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq To Dapagliflozin 10.0000 Milligram (Mg),Glimepiride 1.0000 Milligram (Mg),Glimepiride 2.0000 Milligram (Mg),Metformin Hydrochloride 500.0000 Milligram (Mg),Metformin Hydrochloride 500.0000 Milligram (Mg)",This Tablet Is Indicated As An Adjunct To Diet And Exercise To Improve Glycemic Control In Adult Patients With Type 2 Diabetes Mellitus(T2dm).,24-JAN-2024,Mascot Health Series Pvt Ltd
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin+Glimepiride+Metformin Hcl As Extended Release,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Glimepiride 2.0000 Milligram (Mg),Metformin Hydrochloride As Extended Release 500.0000 Milligram (Mg)",It Is Indicated For Treatment Of Adjunct Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus.,10-MAR-2026,INNOVA CAPTAB LIMITED
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin+Glimepiride+Metformin Hcl As Extended Release,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Glimepiride 1.0000 Milligram (Mg),Metformin Hydrochloride As Extended Release 500.0000 Milligram (Mg)",It Is Indicated For Treatment Of Adjunct Diet And Exercise To Improve Glycemic Control In Adults With Type 2 Diabetes Mellitus.,10-MAR-2026,INNOVA CAPTAB LIMITED
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin+Linagliptin,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Linagliptin 2.5000 Milligram (Mg)","In The Treatment Of Type 2 Diabetes Mellitus, Inadequately Controlled On Metformin Monotherapy",21-JUL-2023,Exemed Pharmaceuticals
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin+Linagliptin,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Linagliptin 5.0000 Milligram (Mg)","In The Treatment Of Type 2 Diabetes Mellitus, Inadequately Controlled On Metformin Monotherapy",21-JUL-2023,Exemed Pharmaceuticals
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin+Linagliptin,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Linagliptin 5.0000 Milligram (Mg)","In The Treatment Of Type 2 Diabetes Mellitus, Inadequately Controlled On Metformin Monotherapy",21-JUL-2023,Exemed Pharmaceuticals
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin+Linagliptin,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Linagliptin 2.5000 Milligram (Mg)","In The Treatment Of Type 2 Diabetes Mellitus, Inadequately Controlled On Metformin Monotherapy",21-JUL-2023,Exemed Pharmaceuticals
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin+Linagliptin+Metformin Hydrochloride Ip (As Extended Release),"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Linagliptin 5.0000 Milligram (Mg),Metformin Hydrochloride Ip (As Extended Release) 1000.0000 Milligram (Mg)",In Patients With Type 2 Diabetes Mellitus Inadequately Controlled On Metformin,08-AUG-2024,Exemed Pharmaceuticals
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin+Metformin Hcl (As Extended Release)+Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin,"Metformin Hcl Eq. To Metformin (As Extended Release) 1000.0000 Milligram (Mg),Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 100.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg)",It Is Used In The Treatment Of Patients With Type 2 Diabetes Mellitus T2dm,05-APR-2023,Bajaj Healthcare Ltd
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin+Metformin Hydrochloride Ip (As Sustained Release)+Vildagliptin (As Sustained Release),"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Vildagliptin (As Sustained Release) 100.0000 Milligram (Mg),Metformin Hydrochloride (As Sustained Release) 500.0000 Milligram (Mg)",In The Treatment Of Type Ii Diabetes,06-DEC-2022,Exemed Pharmaceuticals
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin+Metoprolol Succinate Ip Eq. To Metoprolol Tartrate (Extended Release),"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Metoprolol Succinate Ip Eq. To Metoprolol Tartrate (Extended Release) 25.0000 Milligram (Mg)",It Is Indicated In Patients With Heart Failure Post-Acute Myocardial Infarction,27-NOV-2024,Exemed Pharmaceuticals
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin+Metoprolol Succinate Ip Eq. To Metoprolol Tartrate (Extended Release),"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg),Metoprolol Succinate Ip Eq. To Metoprolol Tartrate (Extended Release) 50.0000 Milligram (Mg)",It Is Indicated In Patients With Heart Failure Post-Acute Myocardial Infarction,27-NOV-2024,Exemed Pharmaceuticals
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin+Sacubitril And Valsartan As Sodium Salt Complex,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Sacubitril And Valsartan As Sodium Salt Complex 100.0000 Mg (49 Mg And 51 Mg)",It Is Indicated In Patients With Heart Failure With Reduced Ejection Fraction.,17-OCT-2025,Exemed Pharmaceuticals
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin+Sacubitril And Valsartan As Sodium Salt Complex,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Sacubitril And Valsartan As Sodium Salt Complex 50.0000 Mg (24 Mg And 26 Mg)",It Is Indicated In Patients With Heart Failure With Reduced Ejection Fraction.,17-OCT-2025,Exemed Pharmaceuticals
Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin+Sacubitril And Valsartan As Sodium Salt Complex,"Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg),Sacubitril And Valsartan As Sodium Salt Complex 200.0000 Mg (97 Mg And 103 Mg)",It Is Indicated In Patients With Heart Failure With Reduced Ejection Fraction.,17-OCT-2025,Exemed Pharmaceuticals
Dapagliflozin Propanediol  Monohydrate Eq. To  Dapagliflozin+Sitagliptin Phosphate  Monohydrate Eq. To  Sitagliptin,"Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 50.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 5.0000 Milligram (Mg)",It Is Indicated For The Treatment Of Type 2 Diabetes Mellitus Inadequately Controlled On Metformin Monotherapy,12-FEB-2025,SAI PRIMUS LIFE BIOTECH PVT LTD
Dapagliflozin Propanediol  Monohydrate Eq. To  Dapagliflozin+Sitagliptin Phosphate  Monohydrate Eq. To  Sitagliptin,"Sitagliptin Phosphate  Monohydrate Eq. To  Sitagliptin 100.0000 Milligram (Mg),Dapagliflozin Propanediol  Monohydrate Eq. To  Dapagliflozin 10.0000 Milligram (Mg)",It Is Indicated For The Treatment Of Type 2 Diabetes Mellitus Inadequately Controlled On Metformin Monotherapy,12-FEB-2025,SAI PRIMUS LIFE BIOTECH PVT LTD
Dapagliflozin Propanediol  Monohydrate Eq. To  Dapagliflozin+Sitagliptin Phosphate  Monohydrate Eq. To  Sitagliptin,"Sitagliptin Phosphate Monohydrate Eq. To Sitagliptin 50.0000 Milligram (Mg),Dapagliflozin Propanediol Monohydrate Eq. To Dapagliflozin 10.0000 Milligram (Mg)",It Is Indicated For The Treatment Of Type 2 Diabetes Mellitus Inadequately Controlled On Metformin Monotherapy,12-FEB-2025,SAI PRIMUS LIFE BIOTECH PVT LTD
